Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1740863774.5265782,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.5449743,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.5621965,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.579797,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.5972395,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.614933,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.6322496,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.6501515,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.668341,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.6859167,13392.0,8896.0,-24456.0,-9462.0,-1450.0,32767.0
1740863774.7039611,13316.0,8192.0,-23648.0,3369.0,-4690.0,32767.0
1740863774.7214823,-5356.0,-3336.0,-6252.0,27117.0,2635.0,32767.0
1740863774.738755,-4852.0,-4196.0,-3708.0,24645.0,3413.0,32767.0
1740863774.7562537,-4512.0,-4424.0,-3224.0,22979.0,307.0,31630.0
1740863774.7738664,-5516.0,-5424.0,-2964.0,23504.0,-2257.0,31689.0
1740863774.7920086,-8436.0,-6300.0,-1692.0,25372.0,-4633.0,30576.0
1740863774.8101447,-10744.0,-6280.0,256.0,26524.0,-4836.0,27356.0
1740863774.8273602,-11932.0,-6428.0,2232.0,26144.0,-5783.0,22982.0
1740863774.845323,-11816.0,-7920.0,3576.0,26934.0,-6110.0,19318.0
1740863774.8630223,-11260.0,-7648.0,5844.0,29560.0,-8010.0,16594.0
1740863774.880598,-11884.0,-7340.0,8524.0,32235.0,-7484.0,14805.0
1740863774.8982196,-13340.0,-7448.0,12780.0,30713.0,-9969.0,11081.0
1740863774.91703,-13124.0,-7720.0,15896.0,25644.0,-11879.0,6432.0
1740863774.9347873,-11372.0,-7088.0,18352.0,17950.0,-12809.0,3410.0
1740863774.952728,-11176.0,-6960.0,18880.0,8945.0,-11411.0,2048.0
1740863774.9713933,-11696.0,-7108.0,18364.0,1175.0,-11053.0,1095.0
1740863774.988817,-13244.0,-7616.0,16332.0,-5503.0,-7795.0,-659.0
1740863775.0065846,-14256.0,-7916.0,14100.0,-11008.0,-5502.0,-3487.0
1740863775.024263,-14612.0,-9000.0,9268.0,-15020.0,-2944.0,-7922.0
1740863775.0417917,-13000.0,-9368.0,4948.0,-17364.0,-3554.0,-12329.0
1740863775.0594256,-11868.0,-9372.0,916.0,-18389.0,-6332.0,-16475.0
1740863775.077042,-9028.0,-9372.0,-2396.0,-17263.0,-11595.0,-19716.0
1740863775.09461,-7392.0,-9060.0,-5112.0,-14491.0,-14289.0,-21325.0
1740863775.112,-6236.0,-9008.0,-7200.0,-10108.0,-15937.0,-22432.0
1740863775.1292503,-5364.0,-7112.0,-8624.0,-4668.0,-15625.0,-24146.0
1740863775.1467845,-4160.0,-5592.0,-10084.0,2627.0,-12762.0,-25043.0
1740863775.164532,-4324.0,-5648.0,-10516.0,13514.0,-9217.0,-26394.0
1740863775.1823266,-5072.0,-6200.0,-6260.0,24356.0,-9171.0,-31190.0
1740863775.2003176,-2856.0,-7640.0,-2184.0,32535.0,-15403.0,-32768.0
1740863775.217806,1356.0,-2576.0,2904.0,32767.0,-25934.0,-32768.0
1740863775.2354207,8756.0,2872.0,7624.0,32767.0,-32768.0,-32768.0
1740863775.2531202,15472.0,6104.0,10720.0,32767.0,-32768.0,-32768.0
1740863775.2712224,20284.0,7048.0,13908.0,29029.0,-32768.0,-32768.0
1740863775.288981,23916.0,6104.0,18008.0,19154.0,-32768.0,-32768.0
1740863775.306758,26576.0,5664.0,18124.0,7493.0,-29557.0,-32768.0
1740863775.3242655,19228.0,5564.0,16268.0,-605.0,-1774.0,-25447.0
1740863775.3421137,11400.0,5968.0,11168.0,-4024.0,2209.0,-24075.0
1740863775.3604505,10248.0,5636.0,9184.0,-3959.0,3572.0,-28990.0
1740863775.3787212,13352.0,7264.0,11212.0,-3047.0,1830.0,-32768.0
1740863775.3962116,19616.0,8716.0,12604.0,-4084.0,5623.0,-32768.0
1740863775.4143333,20788.0,10252.0,9852.0,-3727.0,2776.0,-31222.0
