Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1739652293.440987,6416,-18372,20704,-17112,-14921,32767
1739652293.440987,6016,-17976,21032,-16603,-14388,32767
1739652293.4419909,5560,-17016,21800,-16000,-13568,32767
1739652293.4429965,5296,-16480,22132,-15319,-12711,32767
1739652293.4439957,4948,-15380,22840,-14422,-11477,32767
1739652293.4449973,4516,-14720,23268,-13600,-10394,32767
1739652293.4449973,3948,-13508,24032,-13011,-9440,32767
1739652293.4469974,3348,-12208,24396,-12585,-8380,32767
1739652293.4469974,3056,-10816,24384,-12342,-7442,32767
1739652293.4479978,2680,-9648,24200,-12201,-6501,32767
1739652293.4479978,1900,-8388,23740,-11867,-5764,32767
1739652293.4500778,992,-7628,23724,-11473,-5019,32767
1739652293.4500778,224,-6664,23616,-11296,-4494,32767
1739652293.451126,-492,-5996,23648,-11392,-4016,32767
1739652293.4552474,-1332,-5344,23672,-11726,-3617,32767
1739652293.4562533,-2112,-4848,23816,-12258,-3331,32767
1739652293.4573522,-2528,-4260,23660,-12952,-3103,32767
1739652293.4573522,-2644,-4020,23464,-13560,-3051,32767
1739652293.4585848,-3024,-3848,23056,-13913,-3240,32767
1739652293.4597185,-3096,-3820,22888,-14124,-3549,32767
1739652293.4605854,-3116,-3844,22792,-14116,-3877,32767
1739652293.4707618,-2956,-4244,23060,-13918,-4154,32767
1739652293.4717715,-2748,-4396,23488,-13569,-4270,32767
1739652293.4727762,-2496,-4640,24416,-13203,-4512,32767
1739652293.4737763,-2548,-4640,24964,-12769,-4614,32767
1739652293.485962,-2456,-4624,25744,-12061,-4729,32767
1739652293.5009706,-2392,-4544,26440,-11207,-4716,32767
1739652293.5009706,-2540,-4532,27140,-10182,-4593,32767
1739652293.5029633,-2876,-4548,27844,-8969,-4362,32767
1739652293.5038497,-2964,-4636,28748,-7718,-3887,32767
1739652293.5038497,-2968,-4712,29336,-6432,-3199,32767
1739652293.5048473,-2720,-4768,30148,-5330,-2393,32767
1739652293.5048473,-2740,-4656,30800,-4331,-1452,32767
1739652293.5058515,-2852,-4664,31616,-3464,-459,32767
1739652293.5068514,-3344,-4556,32368,-2686,493,32767
1739652293.5078504,-3220,-4504,32767,-2407,1576,32767
1739652293.508944,-3072,-4476,32767,-2461,2601,32767
1739652293.5153275,-3016,-4524,32767,-2859,3610,32767
1739652293.5163212,-2924,-4928,32767,-3489,4530,32767
1739652293.517458,-3392,-4848,32767,-4194,5603,32767
1739652293.5309768,-3348,-5388,32767,-5027,6562,32767
1739652293.5309768,-3092,-5520,32767,-6009,7690,32767
1739652293.5320933,-2768,-5860,32767,-6834,8972,32767
1739652293.5330994,-2772,-5984,32767,-7512,9856,32767
1739652293.5341039,-2424,-6268,32767,-7956,10785,32767
1739652293.546433,-2080,-6720,32767,-7996,11737,32767
1739652293.546433,-2384,-6976,32767,-7781,12276,32767
1739652293.547553,-2260,-7124,32767,-7292,12828,32767
1739652293.5486364,-2116,-7208,32767,-6802,13473,32767
1739652293.5486364,-1800,-7192,32767,-6248,14478,32767
1739652293.6058419,-1444,-7392,32767,-5785,15078,32767
1739652293.6058419,-1136,-7068,31920,-5259,15598,32767
1739652293.6072905,-824,-6752,31200,-4559,15963,32767
1739652293.6072905,-548,-6312,30628,-3816,16340,32767
1739652293.6356895,72,-5940,29944,-3018,16812,32767
1739652293.636597,784,-5784,29144,-2159,17172,32767
1739652293.636597,1504,-5680,28292,-1138,17378,32767
1739652293.6379077,2092,-5440,27684,-30,17452,32767
1739652293.650638,2632,-5052,27208,1068,17546,32767
1739652293.6515148,3140,-4732,27072,2154,17648,32767
1739652293.6515148,3168,-4412,27436,2976,17728,32767
1739652293.6527524,2900,-4012,27516,3583,17769,32767
1739652293.653791,2524,-3584,27820,4023,18135,32767
1739652293.6548243,2460,-3332,28212,4259,18592,32767
1739652293.6558309,2784,-3160,28156,4445,19225,32496
1739652293.6569326,3128,-3204,27524,4692,19787,32235
1739652293.6578293,3320,-2960,27272,5020,20268,32064
1739652293.65901,3380,-2772,26656,5463,20697,31905
